rid,key,def
　ｓａｍｌｏｎ　→　ＳＡＭＬＯＮ　→　Ｓａｍｌｏｎ　→　ｓａｍｌｏｎ。
英数モードに切り替えて入力する手間が省けて便利です。同様に F10 キーを押すと半角の英字に変換します。|

|ime__:eiji_half_exchage|,|英字の半角変換|,|F8 キーを押して英字を変換すると、次のように変わります。
　samlon　→　SAMLON　→　Samlon　→　samlon。|

|ime__:half_eisiiji_mode|,|半角英数字モード|,|半角の英数字を入力できる状態。IME ツール バーの [あ] などの [入力モード] をクリックし、[半角英数] をクリックして選択できます。|

|ime__:full_eisuuji_mode|,|全角英数字モード|,|全角の英数字を入力できる状態。IME ツール バーの [あ] などの [入力モード] をクリックし、[全角英数] をクリックして選択できます。|

|ime__:direct_input|,|直接入力|,|押したキーの英数字、記号をそのまま直接入力すること。|

|ime__:half_exchange|,|半角変換|,|F8 キーを押して入力したカタカナ、英字、数字を半角に変換します。|

|ime__:Input_kigou_imepad|,|IME パッドからの記号入力|,| IME パッドを使うと、いろいろな記号を入力できます。
IME パッドでは、記号のほかに読めない漢字を部首や総画数から探すこともできます。また、手書きで書いた漢字を正しい漢字で入力することもできます。
IME パッドは、IME ツール バーの [IME パッド] をクリックして表示します。|

|ime__:gaiji|,|外字|,|独自に作った文字。デザイン文字やロゴなどを作れます。外字は、アクセサリの外字エディターで作ることができます。|

|ime__:input_gaiji|,|外字の入力|,|"がいじ" と入力し、F5 キーを押し、IME パッドの文字一覧アプレットの外字の候補一覧から選択します。外字はあらかじめ外字エディターで作成しておきます。|

|ime__:busyu|,|部首|,|"うおへん" "うかんむり" "しんにゅう" など、漢字を作る部分。読めない漢字は、部首の読みを入力して F5 キーを押し、IME パッドの部首アプレットで漢字を選択して入力することができます。|

|ime__:input_codenum|,|文字コード番号からの入力|,|IME パッドの文字一覧アプレットから文字コード番号を探して漢字などを入力します。|

|ime__:ime_pad|,|IME パッド|,|読めない漢字や入力しにくい記号などを探して入力します。読めない漢字は、部首や総画数で探すことができます。また、手書きで探すこともできます。IME パッドは、IME ツール バーの ［IME パッド] をクリックして表示します。|

|ime__:input_half_space|,|半角スペースの入力|,|Shift キーを押しながら Space キーを押します。スペースの入力は、[Microsoft Office IME 2010 のプロパティ] ダイアログ ボックスの [全般] タブの [スペースの入力] の設定によって変わります。
[入力モードに従う] では、入力モードが全角のときは、 Space キーで全角スペース、Shift キーを押しながら Space キーで半角スペースが入力されます。入力モードが半角のときは、Space キーで半角スペース、Shift キーを押しながら Space キーで全角スペースが入力されます。[常に全角] では、どの入力モードでも Space キーで全角スペース、Shift キーを押しながら Space キーで半角スペースが入力されます。[常に半角] では、どの入力モードでも Space キーで半角スペース、Shift キーを押しながら Space キーで全角スペースが入力されます。|

|ime__:term|,|短縮よみ|,|会社名などの長い語句や変換しにくい語句などを、簡単な読みで入力しやすくするために登録する語句。読みを付けて簡単に入力することができます。たとえば、読みを "まいくろ" 、語句を "マイクロソフト株式会社" で登録すると、"まいくろ" と入力し変換すると、"マイクロソフト株式会社" と入力することができます。|

|ime__:direct_input|,|直接入力|,|半角の英数字を入力できる状態。IME ツール バーの [あ] などの [入力モード] をクリックし、[直接入力] をクリックして選択できます。|

|ime__:input_mode|,|入力モード|,|キーを押したときの読みの入力状態。｢ひらがな｣ では、ひらがなで読みが入力されます。[Microsoft Office IME 2010 のプロパティ] ダイアログ ボックスの [和英混在入力] タブの [英字をローマ字かな漢字変換する (主に英語を入力する)] チェック ボックスをオンにすると、｢半角英数｣ や ｢全角英数｣ でも、英数字を入力した後、変換キーを押すと、漢字に変換できます。|

|ime__:set_key|,|キー設定|,|快適に日本語を入力できるように、Microsoft IME の機能をキーに割り当てます。キー設定は、[Microsoft Office IME 2010 のプロパティ] ダイアログ ボックスの [全般] タブの [キー設定] ボックスで選択します。|

|ime__:set_color|,|色設定|,|入力/編集中の文字の色を設定します。色設定は、[Microsoft Office IME 2010 のプロパティ] ダイアログ ボックスの [全般] タブの [色設定] ボックスで選択します。|

|ime__:exchange_key|,|変換キー|,|106 日本語キーボードでは [前候補 変換 (次候補)] キー または [スペース] キーです。再変換には、[前候補 変換 (次候補)] キーを使います。|

|ime__:set_romaji|,|ローマ字設定|,|ローマ字入力をするときの、かなとローマ字の対応を設定します。ローマ字設定は、[Microsoft Office IME 2010 のプロパティ] ダイアログ ボックスの [全般] タブの [ローマ字設定] ボックスで選択します。|

|ime__:exchange_manual|,|連文節変換|,|変換キーを押して変換します。単語や文節の区切りを気にせずに、自由に変換できます。[Microsoft Office IME 2010 のプロパティ] ダイアログ ボックスの [変換] タブの [初期変換モード] ボックスで [一般] を選択したときに連文節変換できます。|

|ime__:exchange_auto|,|自動変換|,|読みを続けて入力し未確定文字列が長くなると、自動的に漢字に変換する変換方式。Microsoft IME では、読みをある程度入力すると、自動的に自動変換が働き変換されます。辞書の学習が進むと、日本語の入力がすばやくできます。自動変換するときの未変換文字列の長さは、[Microsoft Office IME 2010 のプロパティ] ダイアログ ボックスの [変換] タブの [自動変換を行うときの未変換文字列の長さ] で [短め] または [長め] を選択して切り替えることができます。|

|ime__:exchange_mode|,|変換モード|,|変換モードには、入力する文字列によって最適な変換ができるように、一般、人名/地名、話し言葉優先、無変換があります。|

|ime__:exchange_no|,|無変換|,|この変換モードでは、"読み" として入力した文字が変換されずにそのまま確定されます。|

|ime__:exchange_normal|,|一般|,|ビジネス文書や、論文、各種のマニュアルなど、書き言葉中心の日本語文書を作成する場合や、親しい友人との電子メールのやりとり、小説や脚本等、話し言葉 （会話調） の表現を多く含むような文書を作成する場合に、最も変換精度が高くなるように調整されているモードです。|

|ime__:exchange_name|,|人名/地名|,|データベースや表計算ソフトで氏名や住所を入力する場合や、手紙やはがきの宛先を記入する場合など、入力するデータが人名や地名などに固定されている場合に利用すると便利な変換モードです。このモードでは、標準辞書には登録されていない姓名も収録した "人名地名辞書"、住所録作成に便利な "郵便番号辞書" が自動的に利用可能になります （出荷時設定の場合）。|

|ime__:exchange_talk|,|話し言葉優先|,|このモードでは、インターネットやパソコン通信でチャットなどを行う際に便利な顔文字が入っている "顔文字辞書" が自動的に利用可能になります （出荷時設定の場合）。|

|ime__:cursor_term|,|文節カーソル|,|文節の区切りを示すカーソルです。文節カーソルのある文節を ｢注目文節｣ といいます。|

|ime__:cursor_target|,|対象文節|,|文節カーソルのある文節。同音語からの選択や文節の長さの変更の対象になる文節です。|

|ime__:target_phrase_decide|,|対象文節確定|,|注目文節を移動すると、その文節を確定します。|

|ime__:target_phrase|,|注目文節|,|変換中や読みの編集中の文節。|

|ime__:learn_phrase|,|文節学習|,|文節の長さを変えたとき、その区切りを学習します。|

|ime__:learn_exchange|,|文字変換学習|,|文字を入力した後に、カタカナ変換、ひらがな変換、英数変換、または英数切り替え、かな切り替えで確定した単語の変換結果を学習します。|

|ime__:user_comment|,|ユーザー コメント|,|同音異義語など、同じ読みで異なる単語を登録するとき、変換中の候補一覧ですばやく識別したいときに登録単語に付けるもの。
ユーザー コメントを付けて登録した単語は、候補一覧の単語の右にマークが表示されます。ユーザー コメントの内容を確認するには、その単語を選択します。候補一覧の右側にユーザー コメントが表示されます。|

|ime__:system_dic|,|システム辞書|,|あらかじめ変換用にセットアップされている辞書。
標準的に使われる単語が保存されています。
標準辞書 (IMJPST.DIC)、
郵便番号辞書 (IMJPZP.DIC)、
単漢字辞書 (IMJPTK.DIC)、
顔文字辞書 (IMJPCH.DIC)、
人名地名辞書 (IMJPNM.DIC)、
カタカナ語英語辞書 (IMJPLN.DIC)、
記号辞書 (IMJPSB.DIC)、
最新語辞書 (IMJPNW.DIC)、
Outlook 連絡先辞書 (姓) (IMJPABLN.DIC)、
Outlook 連絡先辞書 (名) (IMJPABFN.DIC)、
Outlook グローバル アドレス一覧辞書 (姓) (IMJPADLN.DIC)、
Outlook グローバル アドレス一覧辞書 (名) (IMJPADFN.DIC)。
システム辞書ファイルは、目的に応じて使い分けることがきます。|

|ime__:user_dic|,|ユーザー辞書|,|ユーザーが登録した単語を保存する辞書ファイル。|

|ime__:change_mode_key|,|漢字キー|,|106 日本語キーボードでは、[半角 / 全角] キーです。101 英語キーボードでは、[Alt] キー + [～] キーです。|

|ime__:itaiji|,|異体字|,|同じ意味で字体の異なる字です。
たとえば、"仏" の異体字は、"佛" です。|

|ime__:small_car|,|小さい文字|,|ぁ ぃ ぅ ぇ ぉ っ ゃ ゅ ょ ゎ。
カタカナでよく入力する "シティー" などの小さい文字の入った単語は、[Shift] キーを使って入力します。|

|ime__:small_car_imepad|,|小さい文字 (ソフト キーボード アプレット)|,|ひらがな/カタカナ配列のソフト キーボード アプレットで小さい文字 (ぁ ぃ ぅ ぇ ぉ っ ゃ ゅ ょ ゎ) を入力するときは、[小字] をクリックしてから入力します。|

|ime__:apllet_drawing|,|手書きアプレット|,|読み方のわからない漢字を手書きで探して入力します。|

|ime__:apllet_soukaku|,|総画数アプレット|,|読み方のわからない漢字の総画数を指定して探します。|

|ime__:apllet_busyu|,|部首アプレット|,|読み方のわからない漢字の部首を指定して探します。|

|ime__:apllet_carlist|,|文字一覧アプレット|,|記号や特殊文字などを探して入力します。文字コードを調べることもできます。|

|ime__:apllet_soft_keyboard|,|ソフト キーボード アプレット|,|実際のキーボードに似たイメージのものを画面に表示し、クリックして入力できるようにしたもの。
キーボードのキーを押す感覚で、ボタンをクリックして読みなどを入力し、[変換] をクリックして変換します。
ソフト キーボードには、英数字 (QWERTY 配列)、英数字 (ABC 配列)、ひらがな/カタカナ (JIS 配列)、ひらがな/カタカナ (50 音配列)、数字/日付、の 5 つのレイアウトがあります。|

|ime__:apllet_qwerty|,|英数字 (QWERTY 配列) レイアウト|,|キーボードに似たレイアウト。
キーボードから入力する感覚で文字キーを探せます。全半角英数字を入力できます。|

|ime__:apllet_abc|,|英数字 (ABC 配列) レイアウト|,|アルファベット順に文字キーが並んだレイアウト。
アルファベットが探しやすくなります。全半角英数字を入力できます。|

|ime__:apllet_jis|,|ひらがな/カタカナ (JIS 配列) レイアウト|,|キーボードでかな入力するときのキー配置に似たレイアウト。
かな入力に慣れている人に便利です。ひらがな、全半角カタカナ、漢字、記号などを入力できます。|

|ime__:apllet_50on|,|ひらがな/カタカナ (50 音配列) レイアウト|,|かなキーが 50 音順に並んだレイアウト。
ひらがなやカタカナが探しやすくなります。ひらがな、全半角カタカナ、漢字、記号などを入力できます。|

|ime__:apllet_numdate|,|数字/日付 レイアウト|,|数字や日付を入力するレイアウト。
数字や日付を続けて入力するときに便利です。全半角数字、記号、今日の日付、現在の時刻、日時関連の文字などを入力できます。|

|ime__:apllet|,|アプレット|,|アプレットを使うと、読みのわからない漢字を手書きや総画数、部首で探して入力できます。|

|ime__:input_wiwe|,|"ゐ"、"ゑ"の入力|,|"ゐ" は  [Ｗ] [Ｉ] キー、"ゑ" は [Ｗ] [Ｅ] キーを押して変換すると入力できます。|

